Name,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Total,56994017,59119397,56887955,59457612,61319114,65200089,67576441,70105880,74205348,71474683,62197930,78037879,80366097,84654132,88107479,90483416,91421779,95568664,97954688,96167447,91787521,77621582,80145988,85016728,93546599
Argentina,304809,339632,235558,159401,169176,260402,319755,432101,544647,596745,512924,716540,828771,764495,791007,617329,533683,472776,472158,466649,314787,257187,434753,536893,610725
Australia,302925,347122,319375,343872,413261,411406,394713,330900,334617,329556,227283,244007,224193,226502,215926,180311,173009,161294,98632,,,,,,
Austria,139331,141026,155403,152619,139656,248718,253279,274932,228066,151277,72334,104997,152505,143089,166428,152000,125500,108000,99880,164900,179400,104544,136700,107500,114191
Belgium,1017061,1033294,1187257,1057189,909383,900273,926515,918056,834403,724498,537354,555302,595084,538848,503504,516831,409340,399427,379140,308493,285797,267460,261038,276554,332103
Brazil,1350828,1681517,1817237,1791530,1827791,2317227,2530840,2611034,2977150,3215976,3182923,3381728,3407861,3402508,3712380,3146386,2429463,2156356,2699672,2879809,2944988,2014055,2248253,2369769,2324838
Canada,3058813,2961636,2532742,2629437,2552862,2711536,2687892,2572292,2578790,2082241,1490482,2068189,2135121,2463364,2379834,2394154,2283474,2370271,2199789,2020840,1916585,1376623,1115002,1228735,1553026
China,1829953,2069069,2334440,3286804,4443686,5234496,5717619,7188708,8882456,9299180,13790994,18264761,18418876,19271808,22116825,23731600,24503326,28118794,29015434,27809196,25720665,25225242,26082220,27020615,30160966
Czechia,376261,455492,465268,447088,441699,448360,602237,854907,938648,946567,983243,1076384,1199845,1178995,1132931,1251220,1303603,1349896,1419993,1345041,1433963,1159151,1111432,1224456,1404501
Egypt,76048,59765,56097,45173,50012,49335,64549,91518,104473,119860,92339,116683,81731,56480,30804,42515,36000,36230,36640,71600,18500,23754,23754,,
Finland,34375,38926,42320,41461,19658,10510,21644,32770,24303,17895,10971,6665,2631,8688,7703,45035,69053,55280,91598,112104,114785,86270,93172,73044,30191
France,3180193,3348361,3628418,3601870,3620066,3665990,3549008,3169219,3015854,2568978,2047693,2229421,2242928,1967765,1740220,1821464,1970000,2082000,2227000,2270000,2202460,1316371,1351308,1383173,1505076
Germany,5687692,5526615,5691677,5469309,5506629,5569954,5757710,5819614,6213460,6045730,5209857,5905985,6146948,5649260,5718222,5907548,6033164,6062562,5645581,5120409,4661328,3742454,3308692,3677820,4109371
Hungary,128186,137398,144313,141513,126116,122666,152015,190823,292027,346055,214543,211461,213531,217840,321287,437599,495370,472000,505400,430988,498158,406497,394302,441729,507225
India,818193,801360,814611,894796,1161523,1511157,1638674,2019808,2253729,2332328,2641550,3557073,3927411,4174713,3898425,3844857,4125744,4488965,4782896,5174645,4516017,3394446,4399112,5456857,5851507
Indonesia,89007,292710,279187,299257,322044,408311,500710,297062,411638,600628,464816,702508,838388,1052895,1206368,1298523,1098780,1177389,1216615,1343714,1286848,691286,1121967,1470146,1395717
Iran (Islamic Republic of),119419,277985,323216,452075,582099,788658,1077190,904500,997240,1273781,1394075,1599454,1649311,1000089,743680,1090846,982337,1164710,1515396,1095526,821060,880997,,,
Italy,1701256,1738315,1579696,1427081,1321631,1142105,1038352,1211594,1284312,1023774,843239,838186,790348,671768,658206,697864,1014223,1103516,1142210,1060068,915305,777165,795856,796394,880085
Japan,9895476,10140796,9777191,10257315,10286218,10511518,10799659,11484233,11596327,11575644,7934057,9628920,8398630,9943077,9630181,9774665,9278238,9204590,9693746,9728528,9684298,8067557,7846955,7835519,8997440
Malaysia,254090,282830,358785,395380,344284,471975,563408,502973,441661,530810,489269,567715,533695,569620,601407,595134,614671,513445,460140,564800,571632,485186,481651,702275,774600
Morocco,,,,,,,,,,,,,,,,,,,376826,402085,394652,248430,403007,464864,535825
Mexico,1549925,1935527,1841008,1804670,1575447,1577159,1684238,2045518,2095245,2167944,1561052,2342282,2681050,3001814,3054849,3368010,3565469,3597462,4068415,4100525,3986794,3176600,3145653,3509072,4002047
Netherlands (Kingdom of the),307220,267319,238943,231291,215281,247503,180748,159454,138568,132494,76751,94132,73151,55639,29183,31428,44122,44430,157280,,,,,,
Poland,574834,504972,347875,311132,322061,601000,613200,714600,792703,952840,878998,869474,838133,654756,590159,593504,660603,681837,689729,659646,649864,451382,439421,483840,612882
Portugal,252290,246724,239719,250832,239361,226728,221060,227325,176242,175155,126015,158729,192242,163561,154016,161509,156626,143096,175544,294366,345704,264236,289954,322404,318231
Romania,106897,78165,68761,79456,95247,122185,194802,213597,241712,245308,296498,350912,335232,337765,410997,391434,387177,359306,359250,476769,490412,438107,420755,509465,513050
Russian Federation,1169708,1205581,1250682,1219750,1278792,1386127,1354504,1508358,1660120,1790301,725012,1403244,1990155,2233103,2192245,1887193,1384399,1303989,1551293,1767674,1719784,1435335,1566317,608460,729864
Serbia,5269,12740,8979,11972,13903,15194,14179,11182,9903,11628,16738,15200,11023,11032,113878,103150,83630,80320,79912,56449,35115,23375,21263,4498,
Slovakia,126831,181783,182003,225718,281347,223542,218349,295391,571071,575776,461340,561933,639763,926555,975000,971160,1000001,1040000,1001520,1090000,1100000,985000,1000000,1000000,1080000
Slovenia,118132,122949,116082,126661,118199,131646,177951,150320,198402,197843,212749,211340,174119,130949,93734,118591,133092,133702,189852,209378,199102,141714,95797,68130,60881
South Africa,317367,357364,407036,404441,421335,455702,525227,587719,534490,562965,373923,472049,532545,539424,545913,566083,615658,599004,589951,610854,631983,447218,499087,555889,633337
Korea‚ Republic of,2843114,3114998,2946329,3147584,3177870,3469464,3699350,3840102,4086308,3826682,3512926,4271741,4657094,4561766,4521429,4524932,4555957,4228509,4114913,4028834,3950617,3506774,3462404,3757049,4243597
Spain,2852389,3032874,2849888,2855239,3029826,3012174,2752500,2777435,2889703,2541644,2170078,2387900,2373329,1979179,2163338,2402978,2733201,2885922,2848335,2819565,2822355,2268185,2098133,2219462,2451221
